2020.wnut-1.60,{NLPRL} at {WNUT}-2020 Task 2: {ELM}o-based System for Identification of {COVID}-19 Tweets,2020,-1,-1,4,0,13737,rajesh mundotiya,Proceedings of the Sixth Workshop on Noisy User-generated Text (W-NUT 2020),0,"The Coronavirus pandemic has been a dominating news on social media for the last many months. Efforts are being made to reduce its spread and reduce the casualties as well as new infections. For this purpose, the information about the infected people and their related symptoms, as available on social media, such as Twitter, can help in prevention and taking precautions. This is an example of using noisy text processing for disaster management. This paper discusses the NLPRL results in Shared Task-2 of WNUT-2020 workshop. We have considered this problem as a binary classification problem and have used a pre-trained ELMo embedding with GRU units. This approach helps classify the tweets with accuracy as 80.85{\%} and 78.54{\%} as F1-score on the provided test dataset. The experimental code is available online."
2020.wmt-1.44,Transformer-based Neural Machine Translation System for {H}indi {--} {M}arathi: {WMT}20 Shared Task,2020,-1,-1,4,1,7177,amit kumar,Proceedings of the Fifth Conference on Machine Translation,0,"This paper reports the results for the Machine Translation (MT) system submitted by the NLPRL team for the Hindi {--} Marathi Similar Translation Task at WMT 2020. We apply the Transformer-based Neural Machine Translation (NMT) approach on both translation directions for this language pair. The trained model is evaluated on the corpus provided by shared task organizers, using BLEU, RIBES, and TER scores. There were a total of 23 systems submitted for Marathi to Hindi and 21 systems submitted for Hindi to Marathi in the shared task. Out of these, our submission ranked 6th and 9th, respectively."
2020.wmt-1.126,{NLPRL} System for Very Low Resource Supervised Machine Translation,2020,-1,-1,4,0,13738,rupjyoti baruah,Proceedings of the Fifth Conference on Machine Translation,0,"This paper describes the results of the system that we used for the WMT20 very low resource (VLR) supervised MT shared task. For our experiments, we use a byte-level version of BPE, which requires a base vocabulary of size 256 only. BPE based models are a kind of sub-word models. Such models try to address the Out of Vocabulary (OOV) word problem by performing word segmentation so that segments correspond to morphological units. They are also reported to work across different languages, especially similar languages due to their sub-word nature. Based on BLEU cased score, our NLPRL systems ranked ninth for HSB to GER and tenth in GER to HSB translation scenario."
2020.paclic-1.54,Attention-based Domain Adaption Using Transfer Learning for Part-of-Speech Tagging: An Experiment on the {H}indi language,2020,-1,-1,4,0,13737,rajesh mundotiya,"Proceedings of the 34th Pacific Asia Conference on Language, Information and Computation",0,None
2020.loresmt-1.6,Unsupervised Approach for Zero-Shot Experiments: {B}hojpuri{--}{H}indi and {M}agahi{--}{H}indi@{L}o{R}es{MT} 2020,2020,-1,-1,3,1,7177,amit kumar,Proceedings of the 3rd Workshop on Technologies for MT of Low Resource Languages,0,"This paper reports a Machine Translation (MT) system submitted by the NLPRL team for the Bhojpuri{--}Hindi and Magahi{--}Hindi language pairs at LoResMT 2020 shared task. We used an unsupervised domain adaptation approach that gives promising results for zero or extremely low resource languages. Task organizers provide the development and the test sets for evaluation and the monolingual data for training. Our approach is a hybrid approach of domain adaptation and back-translation. Metrics used to evaluate the trained model are BLEU, RIBES, Precision, Recall and F-measure. Our approach gives relatively promising results, with a wide range, of 19.5, 13.71, 2.54, and 3.16 BLEU points for Bhojpuri to Hindi, Magahi to Hindi, Hindi to Bhojpuri and Hindi to Magahi language pairs, respectively."
2020.icon-main.31,Parsing {I}ndian {E}nglish News Headlines,2020,-1,-1,3,0,19142,samapika roy,Proceedings of the 17th International Conference on Natural Language Processing (ICON),0,"Parsing news Headlines is one of the difficult tasks of Natural Language Processing. It is mostly because news Headlines (NHs) are not complete grammatical sentences. News editors use all sorts of tricks to grab readers{'} attention, for instance, unusual capitalization as in the headline{'} Ear SHOT ashok rajagopalan{'}; some are world knowledge demanding like {`}Church reformation celebrated{'} where the {`}Church reformation{'} refers to a historical event and not a piece of news about an ordinary church. The lack of transparency in NHs can be linguistic, cultural, social, or contextual. The lack of space provided for a news headline has led to creative liberty. Though many works like news value extraction, summary generation, emotion classification of NHs have been going on, parsing them had been a tough challenge. Linguists have also been interested in NHs for creativity in the language used by bending traditional grammar rules. Researchers have conducted studies on news reportage, discourse analysis of NHs, and many more. While the creativity seen in NHs is fascinating for language researchers, it poses a computational challenge for Natural Language Processing researchers. This paper presents an outline of the ongoing doctoral research on the parsing of Indian English NHs. The ultimate aim of this research is to provide a module that will generate correctly parsed NHs. The intention is to enhance the broad applicability of newspaper corpus for future Natural Language Processing applications."
2020.aacl-srw.24,Generating Inflectional Errors for Grammatical Error Correction in {H}indi,2020,-1,-1,4,0,23212,ankur sonawane,Proceedings of the 1st Conference of the Asia-Pacific Chapter of the Association for Computational Linguistics and the 10th International Joint Conference on Natural Language Processing: Student Research Workshop,0,"Automated grammatical error correction has been explored as an important research problem within NLP, with the majority of the work being done on English and similar resource-rich languages. Grammar correction using neural networks is a data-heavy task, with the recent state of the art models requiring datasets with millions of annotated sentences for proper training. It is difficult to find such resources for Indic languages due to their relative lack of digitized content and complex morphology, compared to English. We address this problem by generating a large corpus of artificial inflectional errors for training GEC models. Moreover, to evaluate the performance of models trained on this dataset, we create a corpus of real Hindi errors extracted from Wikipedia edits. Analyzing this dataset with a modified version of the ERRANT error annotation toolkit, we find that inflectional errors are very common in this language. Finally, we produce the initial baseline results using state of the art methods developed for English."
W19-2006,{SWOW}-8500: Word Association task for Intrinsic Evaluation of Word Embeddings,2019,-1,-1,3,0,3392,avijit thawani,Proceedings of the 3rd Workshop on Evaluating Vector Space Representations for {NLP},0,"Downstream evaluation of pretrained word embeddings is expensive, more so for tasks where current state of the art models are very large architectures. Intrinsic evaluation using word similarity or analogy datasets, on the other hand, suffers from several disadvantages. We propose a novel intrinsic evaluation task employing large word association datasets (particularly the Small World of Words dataset). We observe correlations not just between performances on SWOW-8500 and previously proposed intrinsic tasks of word similarity prediction, but also with downstream tasks (eg. Text Classification and Natural Language Inference). Most importantly, we report better confidence intervals for scores on our word association task, with no fall in correlation with downstream performance."
D19-5222,{NLPRL} at {WAT}2019: Transformer-based {T}amil {--} {E}nglish Indic Task Neural Machine Translation System,2019,0,0,2,1,7177,amit kumar,Proceedings of the 6th Workshop on Asian Translation,0,This paper describes the Machine Translation system for Tamil-English Indic Task organized at WAT 2019. We use Transformer- based architecture for Neural Machine Translation.
W18-6116,Language Identification in Code-Mixed Data using Multichannel Neural Networks and Context Capture,2018,0,0,2,0,27812,soumil mandal,Proceedings of the 2018 {EMNLP} Workshop W-{NUT}: The 4th Workshop on Noisy User-generated Text,0,"An accurate language identification tool is an absolute necessity for building complex NLP systems to be used on code-mixed data. Lot of work has been recently done on the same, but there{'}s still room for improvement. Inspired from the recent advancements in neural network architectures for computer vision tasks, we have implemented multichannel neural networks combining CNN and LSTM for word level language identification of code-mixed data. Combining this with a Bi-LSTM-CRF context capture module, accuracies of 93.28{\%} and 93.32{\%} is achieved on our two testing sets."
