2020.emnlp-main.18,{KERMIT}: Complementing Transformer Architectures with Encoders of Explicit Syntactic Interpretations,2020,-1,-1,1,1,20081,fabio zanzotto,Proceedings of the 2020 Conference on Empirical Methods in Natural Language Processing (EMNLP),0,"Syntactic parsers have dominated natural language understanding for decades. Yet, their syntactic interpretations are losing centrality in downstream tasks due to the success of large-scale textual representation learners. In this paper, we propose KERMIT (Kernel-inspired Encoder with Recursive Mechanism for Interpretable Trees) to embed symbolic syntactic parse trees into artificial neural networks and to visualize how syntax is used in inference. We experimented with KERMIT paired with two state-of-the-art transformer-based universal sentence encoders (BERT and XLNet) and we showed that KERMIT can indeed boost their performance by effectively embedding human-coded universal syntactic representations in neural networks"
S18-1076,{S}ynt{NN} at {S}em{E}val-2018 Task 2: is Syntax Useful for Emoji Prediction? Embedding Syntactic Trees in Multi Layer Perceptrons,2018,0,1,1,1,20081,fabio zanzotto,Proceedings of The 12th International Workshop on Semantic Evaluation,0,"In this paper, we present SyntNN as a way to include traditional syntactic models in multilayer neural networks used in the task of Semeval Task 2 of emoji prediction. The model builds on the distributed tree embedder also known as distributed tree kernel. Initial results are extremely encouraging but additional analysis is needed to overcome the problem of overfitting."
J15-1010,{S}quibs: When the Whole Is Not Greater Than the Combination of Its Parts: A {``}Decompositional{''} Look at Compositional Distributional Semantics,2015,11,5,1,1,20081,fabio zanzotto,Computational Linguistics,0,"Distributional semantics has been extended to phrases and sentences by means of composition operations. We look at how these operations affect similarity measurements, showing that similarity equations of an important class of composition methods can be decomposed into operations performed on the subparts of the input phrases. This establishes a strong link between these models and convolution kernels."
S14-2049,ha{LF}: Comparing a Pure {CDSM} Approach with a Standard Machine Learning System for {RTE},2014,19,1,2,1,37739,lorenzo ferrone,Proceedings of the 8th International Workshop on Semantic Evaluation ({S}em{E}val 2014),0,"In this paper, we describe our submission to the Shared Task #1. We tried to follow the underlying idea of the task, that is, evaluating the gap of full-fledged recognizing textual entailment systems with respect to compositional distributional semantic models (CDSMs) applied to this task. We thus submitted two runs: 1) a system obtained with a machine learning approach based on the feature spaces of rules with variables and 2) a system completely based on a CDSM that mixes structural and syntactic information by using distributed tree kernels. Our analysis shows that, under the same conditions, the fully CDSM system is still far from being competitive with more complex methods."
S14-1013,Compositional Distributional Semantics Models in Chunk-based Smoothed Tree Kernels,2014,14,0,3,0,22647,nghia pham,Proceedings of the Third Joint Conference on Lexical and Computational Semantics (*{SEM} 2014),0,"The field of compositional distributional semantics has proposed very interesting and reliable models for accounting the distributional meaning of simple phrases. These models however tend to disregard the syntactic structures when they are applied to larger sentences. In this paper we propose the chunk-based smoothed tree kernels (CSTKs) as a way to exploit the syntactic structures as well as the reliability of these compositional models for simple phrases. We experiment with the recognizing textual entailment datasets. Our experiments show that our CSTKs perform better than basic compositional distributional semantic models (CDSMs) recursively applied at the sentence level, and also better than syntactic tree kernels."
C14-1068,Towards Syntax-aware Compositional Distributional Semantic Models,2014,26,10,2,1,37739,lorenzo ferrone,"Proceedings of {COLING} 2014, the 25th International Conference on Computational Linguistics: Technical Papers",0,"Compositional Distributional Semantics Models (CDSMs) are traditionally seen as an entire different world with respect to Tree Kernels (TKs). In this paper, we show that under a suitable regime these two approaches can be regarded as the same and, thus, structural information and distributional semantics can successfully cooperate in CSDMs for NLP tasks. Leveraging on distributed trees, we present a novel class of CDSMs that encode both structure and distributional meaning: the distributed smoothed trees (DSTs). By using DSTs to compute the similarity among sentences, we implicitly define the distributed smoothed tree kernels (DSTKs). Experiment with our DSTs show that DSTKs approximate the corresponding smoothed tree kernels (STKs). Thus, DSTs encode both structural and distributional semantics of text fragments as STKs do. Experiments on RTE and STS show that distributional semantics encoded in DSTKs increase performance over structure-only kernels."
W13-3824,Linear Compositional Distributional Semantics and Structural Kernels,2013,-1,-1,2,1,37739,lorenzo ferrone,Proceedings of the Joint Symposium on Semantic Processing. Textual Inference and Structures in Corpora,0,None
W13-3205,Transducing Sentences to Syntactic Feature Vectors: an Alternative Way to {``}Parse{''}?,2013,42,5,1,1,20081,fabio zanzotto,Proceedings of the Workshop on Continuous Vector Space Models and their Compositionality,0,"Classification and learning algorithms use syntactic structures as proxies between source sentences and feature vectors. In this paper, we explore an alternative path to use syntax in feature spaces: the Distributed Representation xe2x80x9cParsersxe2x80x9d(DRP). The core of the idea is straightforward: DRPs directly obtain syntactic feature vectors from sentences without explicitly producing symbolic syntactic interpretations. Results show that DRPs produce feature spaces significantly better than those obtained by existing methods in the same conditions and competitive with those obtained by existing methods with lexical information."
S13-2007,{S}em{E}val-2013 Task 5: Evaluating Phrasal Semantics,2013,17,19,3,0,39671,ioannis korkontzelos,"Second Joint Conference on Lexical and Computational Semantics (*{SEM}), Volume 2: Proceedings of the Seventh International Workshop on Semantic Evaluation ({S}em{E}val 2013)",0,"This paper describes the SemEval-2013 Task 5: xe2x80x9cEvaluating Phrasal Semanticsxe2x80x9d. Its first subtask is about computing the semantic similarity of words and compositional phrases of minimal length. The second one addresses deciding the compositionality of phrases in a given context. The paper discusses the importance and background of these subtasks and their structure. In succession, it introduces the systems that participated and discusses evaluation results."
W11-1302,Distributed Structures and Distributional Meaning,2011,-1,-1,1,1,20081,fabio zanzotto,Proceedings of the Workshop on Distributional Semantics and Compositionality,0,None
