2021.emnlp-main.669,Rethinking Data Augmentation for Low-Resource Neural Machine Translation: A Multi-Task Learning Approach,2021,-1,-1,4,0.758937,9987,victor sanchezcartagena,Proceedings of the 2021 Conference on Empirical Methods in Natural Language Processing,0,"In the context of neural machine translation, data augmentation (DA) techniques may be used for generating additional training samples when the available parallel data are scarce. Many DA approaches aim at expanding the support of the empirical data distribution by generating new sentence pairs that contain infrequent words, thus making it closer to the true data distribution of parallel sentences. In this paper, we propose to follow a completely different approach and present a multi-task DA approach in which we generate new sentence pairs with transformations, such as reversing the order of the target sentence, which produce unfluent target sentences. During training, these augmented sentences are used as auxiliary tasks in a multi-task framework with the aim of providing new contexts where the target prefix is not informative enough to predict the next word. This strengthens the encoder and forces the decoder to pay more attention to the source representations of the encoder. Experiments carried out on six low-resource translation tasks show consistent improvements over the baseline and over DA methods aiming at extending the support of the empirical data distribution. The systems trained with our approach rely more on the source tokens, are more robust against domain shift and suffer less hallucinations."
2020.wmt-1.107,Bicleaner at {WMT} 2020: {U}niversitat d{'}Alacant-Prompsit{'}s submission to the parallel corpus filtering shared task,2020,-1,-1,4,0.811321,5040,miquel esplagomis,Proceedings of the Fifth Conference on Machine Translation,0,"This paper describes the joint submission of Universitat d{'}Alacant and Prompsit Language Engineering to the WMT 2020 shared task on parallel corpus filtering. Our submission, based on the free/open-source tool Bicleaner, enhances it with Extremely Randomised Trees and lexical similarity features that account for the frequency of the words in the parallel sentences to determine if two sentences are parallel. To train this classifier we used the clean corpora provided for the task and synthetic noisy parallel sentences. In addition we re-score the output of Bicleaner using character-level language models and n-gram saturation."
2020.eamt-1.8,A multi-source approach for {B}reton{--}{F}rench hybrid machine translation,2020,-1,-1,3,0.783317,9987,victor sanchezcartagena,Proceedings of the 22nd Annual Conference of the European Association for Machine Translation,0,"Corpus-based approaches to machine translation (MT) have difficulties when the amount of parallel corpora to use for training is scarce, especially if the languages involved in the translation are highly inflected. This problem can be addressed from different perspectives, including data augmentation, transfer learning, and the use of additional resources, such as those used in rule-based MT. This paper focuses on the hybridisation of rule-based MT and neural MT for the Breton{--}French under-resourced language pair in an attempt to study to what extent the rule-based MT resources help improve the translation quality of the neural MT system for this particular under-resourced language pair. We combine both translation approaches in a multi-source neural MT architecture and find out that, even though the rule-based system has a low performance according to automatic evaluation metrics, using it leads to improved translation quality."
2020.eamt-1.32,An {E}nglish-{S}wahili parallel corpus and its use for neural machine translation in the news domain,2020,-1,-1,1,1,9988,felipe sanchezmartinez,Proceedings of the 22nd Annual Conference of the European Association for Machine Translation,0,"This paper describes our approach to create a neural machine translation system to translate between English and Swahili (both directions) in the news domain, as well as the process we followed to crawl the necessary parallel corpora from the Internet. We report the results of a pilot human evaluation performed by the news media organisations participating in the H2020 EU-funded project GoURMET."
2020.coling-main.349,Understanding the effects of word-level linguistic annotations in under-resourced neural machine translation,2020,-1,-1,3,0.783317,9987,victor sanchezcartagena,Proceedings of the 28th International Conference on Computational Linguistics,0,"This paper studies the effects of word-level linguistic annotations in under-resourced neural machine translation, for which there is incomplete evidence in the literature. The study covers eight language pairs, different training corpus sizes, two architectures, and three types of annotation: dummy tags (with no linguistic information at all), part-of-speech tags, and morpho-syntactic description tags, which consist of part of speech and morphological features. These linguistic annotations are interleaved in the input or output streams as a single tag placed before each word. In order to measure the performance under each scenario, we use automatic evaluation metrics and perform automatic error classification. Our experiments show that, in general, source-language annotations are helpful and morpho-syntactic descriptions outperform part of speech for some language pairs. On the contrary, when words are annotated in the target language, part-of-speech tags systematically outperform morpho-syntactic description tags in terms of automatic evaluation metrics, even though the use of morpho-syntactic description tags improves the grammaticality of the output. We provide a detailed analysis of the reasons behind this result."
W19-6723,Global Under-Resourced Media Translation ({G}o{URMET}),2019,-1,-1,6,0,5031,alexandra birch,"Proceedings of Machine Translation Summit XVII: Translator, Project and User Tracks",0,None
W19-6625,Improving Translations by Combining Fuzzy-Match Repair with Automatic Post-Editing,2019,0,0,2,1,5074,john ortega,Proceedings of Machine Translation Summit XVII: Research Track,0,None
W19-5339,The {U}niversitat d{'}Alacant Submissions to the {E}nglish-to-{K}azakh News Translation Task at {WMT} 2019,2019,-1,-1,3,0.783317,9987,victor sanchezcartagena,"Proceedings of the Fourth Conference on Machine Translation (Volume 2: Shared Task Papers, Day 1)",0,"This paper describes the two submissions of Universitat d{'}Alacant to the English-to-Kazakh news translation task at WMT 2019. Our submissions take advantage of monolingual data and parallel data from other language pairs by means of iterative backtranslation, pivot backtranslation and transfer learning. They also use linguistic information in two ways: morphological segmentation of Kazakh text, and integration of the output of a rule-based machine translation system. Our systems were ranked second in terms of chrF++ despite being built from an ensemble of only 2 independent training runs."
W18-6464,{UA}lacant machine translation quality estimation at {WMT} 2018: a simple approach using phrase tables and feed-forward neural networks,2018,9,0,1,1,9988,felipe sanchezmartinez,Proceedings of the Third Conference on Machine Translation: Shared Task Papers,0,"We describe the Universitat d{'}Alacant submissions to the word- and sentence-level machine translation (MT) quality estimation (QE) shared task at WMT 2018. Our approach to word-level MT QE builds on previous work to mark the words in the machine-translated sentence as \textit{OK} or \textit{BAD}, and is extended to determine if a word or sequence of words need to be inserted in the gap after each word. Our sentence-level submission simply uses the edit operations predicted by the word-level approach to approximate TER. The method presented ranked first in the sub-task of identifying insertions in gaps for three out of the six datasets, and second in the rest of them."
W16-2383,{UA}lacant word-level and phrase-level machine translation quality estimation systems at {WMT} 2016,2016,6,2,2,0.892623,5040,miquel esplagomis,"Proceedings of the First Conference on Machine Translation: Volume 2, Shared Task Papers",0,"This paper describes the Universitat dxe2x80x99Alacant submissions (labeled as UAlacant) to the machine translation quality estimation (MTQE) shared task at WMT 2016, where we have participated in the word-level and phrase-level MTQE subtasks. Our systems use external sources of bilingual information as a black box to spot sub-segment correspondences between the source segment and the translation hypothesis. For our submissions, two sources of bilingual information have been used: machine translation (Lucy LT KWIK Translator and Google Translate) and the bilingual concordancer Reverso Context. Building upon the word-level approach implemented for WMT 2015, a method for phrase-based MTQE is proposed which builds on the probabilities obtained for word-level MTQE. For each sub-task we have submitted two systems: one using the features produced exclusively based on online sources of bilingual information, and one combining them with the baseline features provided by the organisers of the task."
