D18-1077,Out-of-domain Detection based on Generative Adversarial Network,2018,0,4,4,1,30466,seonghan ryu,Proceedings of the 2018 Conference on Empirical Methods in Natural Language Processing,0,"The main goal of this paper is to develop out-of-domain (OOD) detection for dialog systems. We propose to use only in-domain (IND) sentences to build a generative adversarial network (GAN) of which the discriminator generates low scores for OOD sentences. To improve basic GANs, we apply feature matching loss in the discriminator, use domain-category analysis as an additional task in the discriminator, and remove the biases in the generator. Thereby, we reduce the huge effort of collecting OOD sentences for training OOD detection. For evaluation, we experimented OOD detection on a multi-domain dialog system. The experimental results showed the proposed method was most accurate compared to the existing methods."
W15-4616,Exploiting knowledge base to generate responses for natural language dialog listening agents,2015,14,22,4,0,36608,sangdo han,Proceedings of the 16th Annual Meeting of the Special Interest Group on Discourse and Dialogue,0,"We developed a natural language dialog listening agent that uses a knowledge base (KB) to generate rich and relevant responses. Our system extracts an important named entity from a user utterance, then scans the KB to extract contents related to this entity. The system can generate diverse and relevant responses by assembling the related KB contents into appropriate sentences. Fifteen students tested our system; they gave it higher approval scores than they gave other systems. These results demonstrate that our system generated various responses and encouraged users to continue talking."
W15-4618,Conversational Knowledge Teaching Agent that uses a Knowledge Base,2015,15,5,5,1,3380,kyusong lee,Proceedings of the 16th Annual Meeting of the Special Interest Group on Discourse and Dialogue,0,"When implementing a conversational educational teaching agent, user-intent understanding and dialog management in a dialog system are not sufficient to give users educational information. In this paper, we propose a conversational educational teaching agent that gives users some educational information or triggers interests on educational contents. The proposed system not only converses with a user but also answer questions that the user asked or asks some educational questions by integrating a dialog system with a knowledge base. We used the Wikipedia corpus to learn the weights between two entities and embedding of properties to calculate similarities for the selection of system questions and answers."
N15-3023,Question Answering System using Multiple Information Source and Open Type Answer Merge,2015,13,4,6,0,37605,seonyeong park,Proceedings of the 2015 Conference of the North {A}merican Chapter of the Association for Computational Linguistics: Demonstrations,0,This paper presents a multi-strategy and multisource question answering (QA) system that can use multiple strategies to both answer natural language (NL) questions and respond to
W14-1709,{POSTECH} Grammatical Error Correction System in the {C}o{NLL}-2014 Shared Task,2014,23,4,2,1,3380,kyusong lee,Proceedings of the Eighteenth Conference on Computational Natural Language Learning: Shared Task,0,"This paper describes the POSTECH grammatical error correction system. Various methods are proposed to correct errors such as rule-based, probability n-gram vector approaches and router-based approach. Google N-gram count corpus is used mainly as the correction resource. Correction candidates are extracted from NUCLE training data and each candidate is evaluated with development data to extract high precision rules and n-gram frames. Out of 13 participating teams, our system is ranked 4 th on both the original and revised annotation."
W13-4054,Counseling Dialog System with 5{W}1{H} Extraction,2013,5,19,4,0,36608,sangdo han,Proceedings of the {SIGDIAL} 2013 Conference,0,"In this paper, we introduce our counseling dialog system. Our system interacts with users by recognizing what the users say, predicting the context, and following the usersxe2x80x9f feelings. For this interaction, our system follows three basic counseling techniques: paraphrasing, asking open questions, and reflecting feelings. To follow counseling techniques, we extracted 5W1H information and user emotions from user utterances, and we generated system utterances while using the counseling techniques. We used the conditional random field algorithm to extract 5W1H information, and constructed our counseling algorithm using a dialog strategy that was based on counseling techniques. A total of 16 adults tested our system and rated it with a higher score as an interactive communicator compared with the baseline system."
P12-2010,A Graph-based Cross-lingual Projection Approach for Weakly Supervised Relation Extraction,2012,25,9,2,1,1451,seokhwan kim,Proceedings of the 50th Annual Meeting of the Association for Computational Linguistics (Volume 2: Short Papers),0,"Although researchers have conducted extensive studies on relation extraction in the last decade, supervised approaches are still limited because they require large amounts of training data to achieve high performances. To build a relation extractor without significant annotation effort, we can exploit cross-lingual annotation projection, which leverages parallel corpora as external resources for supervision. This paper proposes a novel graph-based projection approach and demonstrates the merits of it by using a Korean relation extraction system based on projected dataset from an English-Korean parallel corpus."
P12-2064,A Meta Learning Approach to Grammatical Error Correction,2012,22,8,6,0,42669,hongsuck seo,Proceedings of the 50th Annual Meeting of the Association for Computational Linguistics (Volume 2: Short Papers),0,"We introduce a novel method for grammatical error correction with a number of small corpora. To make the best use of several corpora with different characteristics, we employ a meta-learning with several base classifiers trained on different corpora. This research focuses on a grammatical error correction task for article errors. A series of experiments is presented to show the effectiveness of the proposed approach on two different grammatical error tagged corpora."
seo-etal-2012-grammatical,Grammatical Error Annotation for {K}orean Learners of Spoken {E}nglish,2012,5,1,3,0,42669,hongsuck seo,Proceedings of the Eighth International Conference on Language Resources and Evaluation ({LREC}'12),0,"The goal of our research is to build a grammatical error-tagged corpus for Korean learners of Spoken English dubbed Postech Learner Corpus. We collected raw story-telling speech from Korean university students. Transcription and annotation using the Cambridge Learner Corpus tagset were performed by six Korean annotators fluent in English. For the annotation of the corpus, we developed an annotation tool and a validation tool. After comparing human annotation with machine-recommended error tags, unmatched errors were rechecked by a native annotator. We observed different characteristics between the spoken language corpus built in this study and an existing written language corpus."
C12-2102,A Hierarchical Domain Model-Based Multi-Domain Selection Framework for Multi-Domain Dialog Systems,2012,10,6,5,1,30466,seonghan ryu,Proceedings of {COLING} 2012: Posters,0,"We proposed a hierarchical domain model (HDM)-based multi-domain selection framework (MDSF) for multi-domain dialog systems. The HDM-based MDSF statistically detects one or more candidate domains and heuristically determines one or more final domains from among the candidate domains. The HDM is used in both the candidate domain detection and final domain determination components. Multi-domain dialog systems that employ the HDM-based MDSF provide service to one or more domains at the same time, whereas traditional multi -domain dialog systems provide service to only one domain at a time. To validate the HDM-based MDSF, we developed a multi-domain dialog system for TV program, video-on-demand, and TV device domains. The experimental results show that the HDM-based MDSF correctly selects one or more domains and enables multi-domain dialog systems to provide more accurate and rapid dialog service than traditional multi-domain dialog systems."
W11-2043,{POMY}: A Conversational Virtual Environment for Language Learning in {POSTECH},2011,6,1,4,0,44261,hyungjong noh,Proceedings of the {SIGDIAL} 2011 Conference,0,"This demonstration will illustrate an interactive immersive computer game, POMY, designed to help Korean speakers learn English. This system allows learners to exercise their visual and aural senses, receiving a full immersion experience to increase their memory and concentration abilities to a greatest extent. In POMY, learners can have free conversations with game characters and receive corrective feedback to their errors. Game characters show various emotional expressions based on learners' input to keep learners motivated. Through this system, learners can repeatedly practice conversations in everyday life setting in a foreign language with no embarrassment."
I11-1083,A Cross-lingual Annotation Projection-based Self-supervision Approach for Open Information Extraction,2011,20,3,4,1,1451,seokhwan kim,Proceedings of 5th International Joint Conference on Natural Language Processing,0,"Open information extraction (IE) is a weakly supervised IE paradigm that aims to extract relation-independent information from large-scale natural language documents without significant annotation efforts. A key challenge for Open IE is to achieve self-supervision, in which the training examples are automatically obtained. Although the feasibility of Open IE systems has been demonstrated for English, utilizing such techniques to build the systems for other languages is problematic because previous self-supervision approaches require language-specific knowledge. To improve the cross-language portability of Open IE systems, this paper presents a self-supervision approach that exploits parallel corpora to obtain training examples for the target language by projecting the annotations onto the source language. The merit of our method is demonstrated using a Korean Open IE system developed without any language-specific knowledge."
C10-1064,A Cross-lingual Annotation Projection Approach for Relation Detection,2010,22,23,4,1,1451,seokhwan kim,Proceedings of the 23rd International Conference on Computational Linguistics (Coling 2010),0,"While extensive studies on relation extraction have been conducted in the last decade, statistical systems based on supervised learning are still limited because they require large amounts of training data to achieve high performance. In this paper, we develop a cross-lingual annotation projection method that leverages parallel corpora to bootstrap a relation detector without significant annotation efforts for a resource-poor language. In order to make our method more reliable, we introduce three simple projection noise reduction methods. The merit of our method is demonstrated through a novel Korean relation detection task."
P09-2005,Hybrid Approach to User Intention Modeling for Dialog Simulation,2009,8,9,4,1,30350,sangkeun jung,Proceedings of the {ACL}-{IJCNLP} 2009 Conference Short Papers,0,"This paper proposes a novel user intention simulation method which is a data-driven approach but able to integrate diverse user discourse knowledge together to simulate various type of users. In Markov logic framework, logistic regression based data-driven user intention modeling is introduced, and human dialog knowledge are designed into two layers such as domain and discourse knowledge, then it is integrated with the data-driven model in generation time. Cooperative, corrective and self-directing discourse knowledge are designed and integrated to mimic such type of users. Experiments were carried out to investigate the patterns of simulated users, and it turned out that our approach was successful to generate user intention patterns which are not only unseen in the training corpus and but also personalized in the designed direction."
P09-2021,Realistic Grammar Error Simulation using {M}arkov {L}ogic,2009,7,10,2,0.666667,2972,sungjin lee,Proceedings of the {ACL}-{IJCNLP} 2009 Conference Short Papers,0,"The development of Dialog-Based Computer-Assisted Language Learning (DB-CALL) systems requires research on the simulation of language learners. This paper presents a new method for generation of grammar errors, an important part of the language learner simulator. Realistic errors are generated via Markov Logic, which provides an effective way to merge a statistical approach with expert knowledge about the grammar error characteristics of language learners. Results suggest that the distribution of simulated grammar errors generated by the proposed model is similar to that of real learners. Human judges also gave consistently close judgments on the quality of the real and simulated grammar errors."
P09-2071,Efficient Inference of {CRF}s for Large-Scale Natural Language Data,2009,7,7,3,1,34623,minwoo jeong,Proceedings of the {ACL}-{IJCNLP} 2009 Conference Short Papers,0,"This paper presents an efficient inference algorithm of conditional random fields (CRFs) for large-scale data. Our key idea is to decompose the output label state into an active set and an inactive set in which most unsupported transitions become a constant. Our method unifies two previous methods for efficient inference of CRFs, and also derives a simple but robust special case that performs faster than exact inference when the active sets are sufficiently small. We demonstrate that our method achieves dramatic speedup on six standard natural language processing problems."
N09-2023,Automatic Agenda Graph Construction from Human-Human Dialogs using Clustering Method,2009,11,9,4,1,7385,cheongjae lee,"Proceedings of Human Language Technologies: The 2009 Annual Conference of the North {A}merican Chapter of the Association for Computational Linguistics, Companion Volume: Short Papers",0,"Various knowledge sources are used for spoken dialog systems such as task model, domain model, and agenda. An agenda graph is one of the knowledge sources for a dialog management to reflect a discourse structure. This paper proposes a clustering and linking method to automatically construct an agenda graph from human-human dialogs. Preliminary evaluation shows our approach would be helpful to reduce human efforts in designing prior knowledge."
