P19-1510,{NNE}: A Dataset for Nested Named Entity Recognition in {E}nglish Newswire,2019,25,0,6,1,25855,nicky ringland,Proceedings of the 57th Annual Meeting of the Association for Computational Linguistics,1,"Named entity recognition (NER) is widely used in natural language processing applications and downstream tasks. However, most NER tools target flat annotation from popular datasets, eschewing the semantic information available in nested entity mentions. We describe NNE{---}a fine-grained, nested named entity dataset over the full Wall Street Journal portion of the Penn Treebank (PTB). Our annotation comprises 279,795 mentions of 114 entity types with up to 6 layers of nesting. We hope the public release of this large dataset for English newswire will encourage development of new techniques for nested NER."
P15-1111,Identifying Cascading Errors using Constraints in Dependency Parsing,2015,23,4,2,1,37524,dominick ng,Proceedings of the 53rd Annual Meeting of the Association for Computational Linguistics and the 7th International Joint Conference on Natural Language Processing (Volume 1: Long Papers),1,"Dependency parsers are usually evaluated on attachment accuracy. Whilst easily interpreted, the metric does not illustrate the cascading impact of errors, where the parser chooses an incorrect arc, and is subsequently forced to choose further incorrect arcs elsewhere in the parse. We apply arc-level constraints to MSTparser and ZPar, enforcing the correct analysis of specific error classes, whilst otherwise continuing with decoding. We investigate the direct and indirect impact of applying constraints to the parser. Erroneous NP and punctuation attachments cause the most cascading errors, while incorrect PP and coordination attachments are frequent but less influential. Punctuation is especially challenging, as it has long been ignored in parsing, and serves a variety of disparate syntactic roles."
W14-5207,Command-line utilities for managing and exploring annotated corpora,2014,7,1,3,1,28420,joel nothman,Proceedings of the Workshop on Open Infrastructures and Analysis Frameworks for {HLT},0,"Users of annotated corpora frequently perform basic operations such as inspecting the available annotations, filtering documents, formatting data, and aggregating basic statistics over a corpus. While these may be easily performed over flat text files with stream-processing UNIX tools, similar tools for structured annotation require custom design. Dawborn and Curran (2014) have developed a declarative description and storage for structured annotation, on top of which we have built generic command-line utilities. We describe the most useful utilities xe2x80x90 some for quick data exploration, others for high-level corpus management xe2x80x90 with reference to comparable UNIX utilities. We suggest that such tools are universally valuable for working with structured corpora; in turn, their utility promotes common storage and distribution formats for annotated text."
U14-1005,Trading accuracy for faster named entity linking,2014,10,1,3,0,38920,kristy hughes,Proceedings of the Australasian Language Technology Association Workshop 2014,0,None
U14-1006,Unsupervised Biographical Event Extraction Using {W}ikipedia Traffic,2014,18,0,3,0,38921,alexander hogue,Proceedings of the Australasian Language Technology Association Workshop 2014,0,"xe2x80x9cWhat is Julian Assange known for?xe2x80x9d Can we define his importance in terms of key events? xe2x80xa2 Some people are famous for what they did, rather than what they are xe2x80xa2 Julian Assange founded WikiLeaks in 2006 and In 2012 he was granted political asylum by Ecuador are sentences which quickly convey Assangexe2x80x99s notability xe2x80xa2 Current way of extracting these eventsxe2x86x92 need to create a huge data set to train on! xe2x86x92 $$$ xe2x80xa2Many ways someone can be famous xe2x86x92 lots of data xe2x80xa2 Spikes in Wikipedia page traffic xe2x86x92 something interesting happened xe2x80xa2 Find spikesxe2x86x92 find edit to page at the same time xe2x86x92 match sentence in current-day article to edit xe2x80xa2 No annotation needed! xe2x80x9cObama was re-elected president in November 2012..xe2x80x9d xe2x80x9cOn November 4, Obama won the presidency..xe2x80x9d"
D14-1089,Analysing recall loss in named entity slot filling,2014,29,7,3,0,29015,glen pink,Proceedings of the 2014 Conference on Empirical Methods in Natural Language Processing ({EMNLP}),0,"State-of-the-art fact extraction is heavily constrained by recall, as demonstrated by recent performance in TAC Slot Filling. We isolate this recall loss for NE slots by systematically analysing each stage of the slot filling pipeline as a filter over correct answers. Recall is critical as candidates never generated can never be recovered, whereas precision can always be increased in downstream processing. We provide precise, empirical confirmation of previously hypothesised sources of recall loss in slot filling. While NE type constraints substantially reduce the search space with only a minor recall penalty, we find that 10% to 39% of slot fills will be entirely ignored by most systems. One in six correct answers are lost if coreference is not used, but this can be mostly retained by simple name matching rules."
C14-1072,docrep: A lightweight and efficient document representation framework,2014,20,4,2,1,38280,tim dawborn,"Proceedings of {COLING} 2014, the 25th International Conference on Computational Linguistics: Technical Papers",0,"Modelling linguistic phenomena requires highly structured and complex data representations. Document representation frameworks (DRFs) provide an interface to store and retrieve multiple annotation layers over a document. Researchers face a difficult choice: using a heavy-weight DRF or implement a custom DRF. The cost is substantial, either learning a new complex system, or continually adding features to a home-grown system that risks overrunning its original scope. We introduce DOCREP, a lightweight and efficient DRF, and compare it against existing DRFs. We discuss our design goals and implementations in C, Python, and Java. We transform the OntoNotes 5 corpus using DOCREP and UIMA, providing a quantitative comparison, as well as discussing modelling trade-offs. We conclude with qualitative feedback from researchers who have used DOCREP for their own projects. Ultimately, we hope DOCREP is useful for the busy researcher who wants the benefits of a DRF, but has better things to do than to write one."
C14-1201,Limited memory incremental coreference resolution,2014,25,4,2,1,9606,kellie webster,"Proceedings of {COLING} 2014, the 25th International Conference on Computational Linguistics: Technical Papers",0,"We propose an algorithm for coreference resolution based on analogy with shift-reduce parsing. By reconceptualising the task in this way, we unite ranking- and cluster-based approaches to coreference resolution, which have until now been largely orthogonal. Additionally, our framework naturally lends itself to rich discourse modelling, which we use to define a series of psycholinguistically motivated features. We achieve CoNLL scores of 63.33 and 62.91 on the CoNLL-2012 DEV and TEST splits of the OntoNotes 5 corpus, beating the publicly available state of the art systems. These results are also competitive with the best reported research systems despite our system having low memory requirements and a simpler model."
U13-1007,Examining the Impact of Coreference Resolution on Quote Attribution,2013,21,0,3,0,41176,tim okeefe,Proceedings of the Australasian Language Technology Association Workshop 2013 ({ALTA} 2013),0,"Quote attribution is the task of identifying the speaker of each quote within a document. While recent research has established large-scale corpora for this task, these corpora are not yet consistent in the way they handle candidate speakers, and many of the reported results rely on gold standard annotations of both entities and coreference chains. In this work we evaluate three quote attribution systems with automatically produced candidate speakers and coreference chains. We perform these experiments over four separate corpora, which allows us to determine how coreference resolution effects quote attribution, and to use the task as an extrinsic evaluation of three coreference systems."
P13-2018,An Empirical Examination of Challenges in {C}hinese Parsing,2013,19,11,3,1,2960,jonathan kummerfeld,Proceedings of the 51st Annual Meeting of the Association for Computational Linguistics (Volume 2: Short Papers),0,"Aspects of Chinese syntax result in a distinctive mix of parsing challenges. However, the contribution of individual sources of error to overall difficulty is not well understood. We conduct a comprehensive automatic analysis of error types made by Chinese parsers, covering a broad range of error types for large sets of sentences, enabling the first empirical ranking of Chinese error types by their performance impact. We also investigate which error types are resolved by using gold part-of-speech tags, showing that improving Chinese tagging only addresses certain error types, leaving substantial outstanding challenges."
