2020.paclic-1.12,Language change in Report on the Work of the Government by Premiers of the People{'}s {R}epublic of {C}hina,2020,-1,-1,3,0,15810,renkui hou,"Proceedings of the 34th Pacific Asia Conference on Language, Information and Computation",0,None
2020.figlang-1.16,Using Conceptual Norms for Metaphor Detection,2020,-1,-1,2,0.689655,15875,mingyu wan,Proceedings of the Second Workshop on Figurative Language Processing,0,"This paper reports a linguistically-enriched method of detecting token-level metaphors for the second shared task on Metaphor Detection. We participate in all four phases of competition with both datasets, i.e. Verbs and AllPOS on the VUA and the TOFEL datasets. We use the modality exclusivity and embodiment norms for constructing a conceptual representation of the nodes and the context. Our system obtains an F-score of 0.652 for the VUA Verbs track, which is 5{\%} higher than the strong baselines. The experimental results across models and datasets indicate the salient contribution of using modality exclusivity and modality shift information for predicting metaphoricity."
W19-5521,{P}oly{U}{\\_}{CBS}-{CFA} at the {F}in{SBD} Task: Sentence Boundary Detection of Financial Data with Domain Knowledge Enhancement and Bilingual Training,2019,-1,-1,5,0.689655,15875,mingyu wan,Proceedings of the First Workshop on Financial Technology and Natural Language Processing,0,None
L18-1160,Using a Corpus of {E}nglish and {C}hinese Political Speeches for Metaphor Analysis,2018,0,0,1,1,15811,kathleen ahrens,Proceedings of the Eleventh International Conference on Language Resources and Evaluation ({LREC} 2018),0,None
Y17-1041,Conceptualizing {EDUCATION} in {H}ong {K}ong and {C}hina (1984-2014),2017,-1,-1,1,1,15811,kathleen ahrens,"Proceedings of the 31st Pacific Asia Conference on Language, Information and Computation",0,None
W13-5402,Metaphor and Qualia: Embodiment or Eventuality,2013,-1,-1,2,0,1504,churen huang,Proceedings of the 6th International Conference on Generative Approaches to the Lexicon ({GL}2013),0,None
O11-2006,The Prior Knowledge Effect on the Processing of Vague Discourse in {M}andarin {C}hinese,2011,-1,-1,2,0,29240,shuping gong,{ROCLING} 2011 Poster Papers,0,None
Y10-1045,Using Corpus-based Linguistic Approaches in Sense Prediction Study,2010,17,0,4,1,37549,jiafei hong,"Proceedings of the 24th Pacific Asia Conference on Language, Information and Computation",0,"In this study, we propose to use two corpus-based linguistic approaches for a sense prediction study. We will concentrate on the character similarity clustering approach and concept similarity clustering approach to predict the senses of non-assigned words by using corpora and tools, such as Chinese Gigaword Corpus, and HowNet. In this study, we would then like to evaluate their predictions via the sense divisions of Chinese Wordnet and Xiandai Hanyu Cidian. Using these corpora, we will determine the clusters of our four target words ---- chi1 eat, wan2 play, huan4 change and shao1 burn in order to predict their all possible senses and evaluate them. This requirement will demonstrate the visibility of the corpus-based approaches."
Y08-1012,Towards a Model for the Prediction of {C}hinese Novel Verbs,2008,5,0,2,0,47622,paul chang,"Proceedings of the 22nd Pacific Asia Conference on Language, Information and Computation",0,"As previous word adoption models, though proposing potential factors that influence the survival of neologisms, receive little empirical examination, this corpus-based study compares the performance of two such models by providing clear operational criteria for each factor in the models and, consequently, proposes a hybrid model that improves the previous results. We focus on seventy-seven Chinese novel verbs that appeared about ten years ago, defining their survival/failure in the real world, and examine the accurate prediction ratio of the two models. Both models display an overall accuracy of about 60 percent. However, as certain factors, e.g., unobtrusiveness, appear to be invalid predictors for the Chinese data, we attempt to improve the results by deleting inappropriate factors and by adjusting the weightings. As the overall accuracy was improved to about 70 percent, we suggest that this study would shed light on the potential factors that influence the survival of Chinese novel verbs."
chung-etal-2008-extracting,Extracting Concrete Senses of Lexicon through Measurement of Conceptual Similarity in Ontologies,2008,5,0,4,1,15600,siawfong chung,Proceedings of the Sixth International Conference on Language Resources and Evaluation ({LREC}'08),0,"The measurement of conceptual similarity in a hierarchical structure has been proposed by studies such as Wu and Palmer (1994) which have been summarized and evaluated in Budanisky and Hirst (2006). The present study applies the measurement of conceptual similarity to conceptual metaphor research by comparing concreteness of ontological resource nodes to several prototypical concrete nodes selected by human subjects. Here, the purpose of comparing conceptual similarity between nodes is to select a concrete sense for a word which is used metaphorically. Through using WordNet-SUMO interface such as SinicaBow (Huang, Chang and Lee, 2004), concrete senses of a lexicon will be selected once its SUMO nodes have been compared in terms of conceptual similarity with the prototypical concrete nodes. This study has strong implications for the interaction of psycholinguistic and computational linguistic fields in conceptual metaphor research."
Y07-1012,Computing Thresholds of Linguistic Saliency,2007,0,0,2,1,15600,siawfong chung,"Proceedings of the 21st Pacific Asia Conference on Language, Information and Computation",0,None
Y07-1015,The Polysemy of Da3: An ontology-based lexical semantic study,2007,9,1,3,1,37549,jiafei hong,"Proceedings of the 21st Pacific Asia Conference on Language, Information and Computation",0,"In this study, we explore the polysemy of da3 through the ontological conceptual structure found in SUMO. First, we divide several different senses for da3, clustering physical event senses and metaphorical event senses. In here, we only focus on physical event senses of da3. From the physical event senses of da3, we divide them into two main categories: 1) hit and 2) pump. We then use SUMO ontological concepts to identify these physical senses. Finally, we can observe the common patterns of the xe2x80x9chitxe2x80x9d sense group and the xe2x80x9cpumpxe2x80x9d sense group for da3."
O06-5004,Using a Small Corpus to Test Linguistic Hypotheses: Evaluating {`}People{'} in the State of the Union Addresses,2006,-1,-1,1,1,15811,kathleen ahrens,"International Journal of Computational Linguistics {\\&} {C}hinese Language Processing, Volume 11, Number 4, {D}ecember 2006",0,None
Y05-1004,People in the State of the Union: Viewing Social Change through the Eyes of Presidents,2005,-1,-1,1,1,15811,kathleen ahrens,"Proceedings of the 19th Pacific Asia Conference on Language, Information and Computation",0,None
O05-5012,Source Domains as Concept Domains in Metaphorical Expressions,2005,22,11,2,1,15600,siawfong chung,"International Journal of Computational Linguistics {\\&} {C}hinese Language Processing, Volume 10, Number 4, {D}ecember 2005: Special Issue on Selected Papers from {CLSW}-5",0,"The use of lexical resources in linguistic analysis has expanded rapidly in recent years. However, most lexical resources, such as WordNet or online dictionaries, at this point do not usually indicate figurative meanings, such as conceptual metaphors, as part of a lexical entry. Studies that attempt to establish the relationships between literal and figurative language by detecting the connectivity between WordNet relations usually do not deal with linguistic data directly. However, the present study demonstrates that SUMO definitions can be used to identify the source domains used in conceptual metaphors. This is achieved by identifying the relationships between metaphorical expressions and their corresponding ontological nodes. Such links are important because they show which lexical items are mapped under which concepts. This, in turn, helps specify which lexical items in electronic resources involve conceptual mappings. Looking specifically at the concept of PERSON, this work also establishes connectivity between lexical items which are related to xe2x80x9cOrganism.xe2x80x9d Therefore, the methodology reported herein not only aids the categorizing of lexical items according to their conceptual domains but also can establish links between these items. Such bottom-up and top-down analyses of lexical items may provide a means of representing metaphorical entries in lexical resources."
Y03-1014,"Stock Markets as Ocean Water : A Corpus-based, Comparative Study of {M}andarin {C}hinese, {E}nglish and {S}panish",2003,8,7,2,1,15600,siawfong chung,"Proceedings of the 17th Pacific Asia Conference on Language, Information and Computation",0,"To what degree do different languages share similar conceptual metaphors? Charteris-Black and Ennis (2001) examined this question by running a comparative, corpus-based study of metaphors in Spanish and English financial reporting. They argue that both languages show considerable similarity in the choice of conceptual metaphors with the same linguistic expressions but that there is a differing degree of frequency. They attribute this similarity to the common cultural identity of the two languages such as the similar economic system and their Latinate origins. In this paper, we use a corpus-based approach in comparing the choice of conceptual metaphors in Mandarin Chinese with those of Spanish and English. We focus our discussion on the conceptual metaphor STOCK MARKET IS OCEAN WATER in Mandarin Chinese and compare it with the Spanish and English data. We carry out our analysis within the framework of the Conceptual Mapping (CM) Model (Ahrens 2002). With this model, we are able to demonstrate that although different languages share similar conceptual metaphors, they differ in what is mapped linguistically. These differences can be shown in their specific Mapping Principles."
W03-1405,Conceptual Metaphors: Ontology-based Representation and Corpora Driven Mapping Principles,2003,9,39,1,1,15811,kathleen ahrens,Proceedings of the {ACL} 2003 Workshop on the Lexicon and Figurative Language,0,"The goal of this paper is to integrate the Conceptual Mapping Model with an ontology-based knowledge representation (i.e. Suggested Upper Merged Ontology (SUMO)) in order to demonstrate that conceptual metaphor analysis can be restricted and eventually, automated. In particular, we will propose a corpora-based operational definition for Mapping Principles, which are explanations of why a conventional conceptual metaphor has a particular source-target domain pairing. This paper will examine 2000 random examples of 'economy' (jingji) in Mandarin Chinese and postulate Mapping Principles based frequency and delimited with SUMO."
O03-1006,{ECONOMY} {IS} {A} {PERSON}: A {C}hinese-{E}nglish Corpora and Ontological-based Comparison Using the {C}onceptual {M}apping {M}odel,2003,7,16,2,1,15600,siawfong chung,Proceedings of Research on Computational Linguistics Conference {XV},0,"This paper proposes a corpora-based approach in comparing the Mapping Principles for economy metaphors in English and Chinese. The Mapping Principles are validated using an upper ontology (SUMO). This research extends on the work of Ahrens, Chung and Huang (2003) by examining the xe2x80x98economyxe2x80x99 metaphors in Chinese and English. In Ahrens, Chung and Huang (2003), they proposed to delimit the Mapping Principle via two steps: First, they used a corpora-based analysis on the word jingji xe2x80x98economyxe2x80x99 to find out the most prototypical mappings in a metaphor Second, they used an upper ontology (SUMO) to examine whether the mapping principle is a representation of conceptual knowledge in the ontology. This paper goes a step further by examining the similarities and differences of source domains in English and Chinese. Using the Conceptual Mapping Model, this paper looks particularly into the example of ECONOMY IS A PERSON. This paper observes the representation of shared knowledge in the source domain in different languages and explains the similarities and differences by looking into the definition of inference rules in the upper ontology of SUMO."
Y01-1002,A Comparative Study of {E}nglish and {C}hinese Synonym Pairs : An Approach based on The Module-Attribute Representation of Verbal Semantics,2001,2,0,1,1,15811,kathleen ahrens,"Proceedings of the 15th Pacific Asia Conference on Language, Information and Computation",0,"The Module-Attribute Representation of Verbal Semantics (MARVS) is a theory of the representation of verbal semantics that is developed based on Mandarin Chinese data (Huang et al., 2000). This theory proposes two types of modules: event structure modules and role modules, as well as two sets of attributes: event-internal attributes and role-internal attributes which are linked to the event structure module and role module respectively. These module-attribute semantic representations have associated grammatical consequences. Studies in MARVS (e.g. Biq 2000) found that the composition of an event modules and its attested lexical semantic attribute(s) could be generalized to a natural semantic class. For example, the contrast between bai3 ( `set') and fang4 ( `pue) in Mandarin Chinese to do with the fact that bai3 has a roleinternal feature of [design] attached to the location role, while fang4 does not. Moreover, this contrast can be generalized across the semantic class of verbs that involve design on the focussed location role (i.e. hua4 'to paint') and those that do not (i.e. tu2 'to cover with paint, to doodle'). What we would like to determine in this paper is if similar contrasts be found in near synonyms of other languages. In particular, are event modules in other languages (such as English) organized along similar conceptual lines? In this paper, we examine this theory in light of the English data. In particular, we will look at the near synonym contrast of the verbs 'put' and 'set' based on data from the two million word sampler of the British National Corpus (BNC). To preview our results, we find that the event structure in English is slightly different from that of Chinese. In Chinese, bai3 has a role-internal feature of [design] attached to the location role, while fang4 does not. However, in English, 'put' has the roles of Agent, Theme and Location in its event structure, while 'set' has the three roles of Agent, Theme, and Proposition. Thus, conceptualizations of 'set' and 'put' in English and Mandarin have different semantic and syntactic entailments."
Y01-1019,Mappings From the Source Domain of Plant in {M}andarin {C}hinese,2001,3,1,2,0,45523,vicky lai,"Proceedings of the 15th Pacific Asia Conference on Language, Information and Computation",0,"This paper investigates what words map from the source domain of PLANT in Mandarin Chinese. In particular, we examine how different aspects of the source domain of PLANT are mapped onto the different target domains of LOVE, MARRIAGE, HAPPINESS, and BELIEFS. We found that mapping principles can account for the different mappings (Ahrens 2000)."
