W17-4509,Topic Model Stability for Hierarchical Summarization,2017,11,1,2,1,12327,john miller,Proceedings of the Workshop on New Frontiers in Summarization,0,"We envisioned responsive generic hierarchical text summarization with summaries organized by section and paragraph based on hierarchical structure topic models. But we had to be sure that topic models were stable for the sampled corpora. To that end we developed a methodology for aligning multiple hierarchical structure topic models run over the same corpus under similar conditions, calculating a representative centroid model, and reporting stability of the centroid model. We ran stability experiments for standard corpora and a development corpus of Global Warming articles. We found flat and hierarchical structures of two levels plus the root offer stable centroid models, but hierarchical structures of three levels plus the root didn{'}t seem stable enough for use in hierarchical summarization."
W16-6621,Enabling text readability awareness during the micro planning phase of {NLG} applications,2016,0,0,2,0,33325,priscilla moraes,Proceedings of the 9th International Natural Language Generation conference,0,None
W14-4410,Experimental Design to Improve Topic Analysis Based Summarization,2014,12,0,2,1,12327,john miller,Proceedings of the 8th International Natural Language Generation Conference ({INLG}),0,"We use efficient screening experiments to investigate and improve topic analysis based multi-document extractive summarization. In our summarization process, topic analysis determines the weighted topic content vectors that characterize the corpora, and then Jensen-Shannon divergence extracts sentences that best match the weighted content vectors to assemble the summaries. We use screening experiments to investigate several control parameters in this process, gaining better understanding of and improving the topic analysis based summarization process."
C14-1057,Identifying Important Features for Graph Retrieval,2014,34,1,4,0,40247,zhuo li,"Proceedings of {COLING} 2014, the 25th International Conference on Computational Linguistics: Technical Papers",0,"Infographics, such as bar charts and line graphs, occur often in popular media and are a rich knowledge source that should be accessible to users. Unfortunately, information retrieval research has focused on the retrieval of text documents and images, with almost no attention specifically directed toward the retrieval of information graphics. Our work is the first to directly tackle the retrieval of infographics and to design a system that takes into account their unique characteristics. Learning-to-rank algorithms are applied on a large set of features to develop several models for infographics retrieval. Evaluation of the models shows that features pertaining to the structure and the content of graphics should be taken into account when retrieving graphics and that doing so results in a model with better performance than a baseline model that relies on matching query words with words in the graphic."
W12-1501,Natural Language Generation and Assistive Technologies,2012,0,0,1,1,31670,kathleen mccoy,{INLG} 2012 Proceedings of the Seventh International Natural Language Generation Conference,0,"Some people with disabilities find it difficult to access some forms of language. Assistive Technology is a term used to describe a class of technologies/interventions designed to enable people with disabilities to do things that their disabilitie currently make difficult. A large amount of work on Assistive Technology has focused on enabling access to language and communication; this class of interventions could greatly benefit from Natural Language Generation technologies.n n This talk will briefly survey some Assistive Technology applications that have employed Natural Language Generation technologies -- highlighting some of the needs in this application area along with the opportunities that it provides for investigating hard problems in Natural Language Generation. It will then highlight a project, called the SIGHT System, intended to provide access to information graphics (e.g., bar charts, line graphs) found in popular media to people who have visual impairments. This system employs Natural Language Generation technologies to generate appropriate textual summaries of the information graphics. As such, it makes contributions to several areas within the field of Natural Language Generation while also enabling access to the information in these graphics to people who cannot access it with visual means."
J12-3004,Summarizing Information Graphics Textually,2012,79,11,3,1,18960,seniz demir,Computational Linguistics,0,"Information graphics (such as bar charts and line graphs) play a vital role in many multimodal documents. The majority of information graphics that appear in popular media are intended to convey a message and the graphic designer uses deliberate communicative signals, such as highlighting certain aspects of the graphic, in order to bring that message out. The graphic, whose communicative goal (intended message) is often not captured by the documentxe2x80x99s accompanying text, contributes to the overall purpose of the document and cannot be ignored. This article presents our approach to providing the high-level content of a non-scientific information graphic via a brief textual summary which includes the intended message and the salient features of the graphic. This work brings together insights obtained from empirical studies in order to determine what should be contained in the summaries of this form of non-linguistic input data, and how the information required for realizing the selected content can be extracted from the visual image and the textual components of the graphic. This work also presents a novel bottomxe2x80x93up generation approach to simultaneously construct the discourse and sentence structures of textual summaries by leveraging different discourse related considerations such as the syntactic complexity of realized sentences and clause embeddings. The effectiveness of our work was validated by different evaluation studies."
W11-2703,A Corpus of Human-written Summaries of Line Graphs,2011,13,11,3,1,44168,charles greenbacker,Proceedings of the {UCNLG}+{E}val: Language Generation and Evaluation Workshop,0,"We describe a corpus of human-written English language summaries of line graphs. This corpus is intended to help develop a system to automatically generate summaries capturing the most salient information conveyed by line graphs in popular media, as well as to evaluate the output of such a system."
W11-2306,Improving the Accessibility of Line Graphs in Multimodal Documents,2011,30,2,4,1,44168,charles greenbacker,Proceedings of the Second Workshop on Speech and Language Processing for Assistive Technologies,0,"This paper describes our work on improving access to the content of multimodal documents containing line graphs in popular media for people with visual impairments. We provide an overview of our implemented system, including our method for recognizing and conveying the intended message of a line graph. The textual description of the graphic generated by our system is presented at the most relevant point in the document. We also describe ongoing work into obtaining additional propositions that elaborate on the intended message, and examine the potential benefits of analyzing the text and graphical content together in order to extend our system to produce summaries of entire multimodal documents."
W11-0506,Abstractive Summarization of Line Graphs from Popular Media,2011,25,1,4,1,44168,charles greenbacker,"Proceedings of the Workshop on Automatic Summarization for Different Genres, Media, and Languages",0,"Information graphics (bar charts, line graphs, etc.) in popular media generally have a discourse goal that contributes to achieving the communicative intent of a multimodal document. This paper presents our work on abstractive summarization of line graphs. Our methodology involves hypothesizing the intended message of a line graph and using it as the core of a summary of the graphic. This core is then augmented with salient propositions that elaborate on the intended message."
W10-4202,A Discourse-Aware Graph-Based Content-Selection Framework,2010,19,18,3,1,18960,seniz demir,Proceedings of the 6th International Natural Language Generation Conference,0,"This paper presents an easy-to-adapt, discourse-aware framework that can be utilized as the content selection component of a generation system whose goal is to deliver descriptive texts in several turns. Our framework involves a novel use of a graph-based ranking algorithm, to iteratively determine what content to convey to a given request while taking into account various considerations such as capturing a priori importance of information, conveying related information, avoiding redundancy, and incorporating the effects of discourse history. We illustrate and evaluate this framework in an accessibility system for sight-impaired individuals."
