"2021.naacl-main.340","Ask what{'}s missing and what{'}s useful: Improving Clarification Question Generation using Global Knowledge","2021","-1","-1","3","0","4266","bodhisattwa majumder","Proceedings of the 2021 Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies","0"
"2021.naacl-main.414","Text Editing by Command","2021","-1","-1","2","0","4458","felix faltings","Proceedings of the 2021 Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies","0"
"2021.findings-acl.185","Automatic Document Sketching: Generating Drafts from Analogous Texts","2021","-1","-1","2","0","7957","zeqiu wu","Findings of the Association for Computational Linguistics: ACL-IJCNLP 2021","0"
"2020.emnlp-main.28","Dialogue Response Ranking Training with Large-Scale Human Feedback Data","2020","-1","-1","3","1","7357","xiang gao","Proceedings of the 2020 Conference on Empirical Methods in Natural Language Processing (EMNLP)","0"
"2020.acl-demos.26","{M}ixing{B}oard: a Knowledgeable Stylized Integrated Text Generation Platform","2020","19","0","2","1","7357","xiang gao","Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics: System Demonstrations","0"
"2020.acl-demos.30","{DIALOGPT} : Large-Scale Generative Pre-training for Conversational Response Generation","2020","-1","-1","3","0.701754","4419","yizhe zhang","Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics: System Demonstrations","0"
"W19-2401","Towards Coherent and Cohesive Long-form Text Generation","2019","59","0","5","0","10517","woon cho","Proceedings of the First Workshop on Narrative Understanding","0"
"P19-3021","{M}icrosoft Icecaps: An Open-Source Toolkit for Conversation Modeling","2019","0","0","9","0","25468","vighnesh shiv","Proceedings of the 57th Annual Meeting of the Association for Computational Linguistics: System Demonstrations","0"
"P19-1539","Conversing by Reading: Contentful Neural Conversation with On-demand Machine Reading","2019","39","5","2","0","4389","lianhui qin","Proceedings of the 57th Annual Meeting of the Association for Computational Linguistics","1"
"N19-1125","Jointly Optimizing Diversity and Relevance in Neural Response Generation","2019","0","16","5","1","7357","xiang gao","Proceedings of the 2019 Conference of the North {A}merican Chapter of the Association for Computational Linguistics: Human Language Technologies, Volume 1 (Long and Short Papers)","0"
"N19-1269","Towards Content Transfer through Grounded Text Generation","2019","0","5","3","0","4128","shrimai prabhumoye","Proceedings of the 2019 Conference of the North {A}merican Chapter of the Association for Computational Linguistics: Human Language Technologies, Volume 1 (Long and Short Papers)","0"
"D19-1190","Structuring Latent Spaces for Stylized Response Generation","2019","0","6","4","1","7357","xiang gao","Proceedings of the 2019 Conference on Empirical Methods in Natural Language Processing and the 9th International Joint Conference on Natural Language Processing (EMNLP-IJCNLP)","0"
"P18-5002","Neural Approaches to Conversational {AI}","2018","17","24","2","0","3502","jianfeng gao","Proceedings of the 56th Annual Meeting of the Association for Computational Linguistics: Tutorial Abstracts","0"
"I17-1047","Image-Grounded Conversations: Multimodal Context for Natural Question and Response Generation","2017","38","35","4","0.447154","20402","nasrin mostafazadeh","Proceedings of the Eighth International Joint Conference on Natural Language Processing (Volume 1: Long Papers)","0"
"I17-1061","Multi-Task Learning for Speaker-Role Adaptation in Neural Conversation Models","2017","25","16","5","0","25654","yi luan","Proceedings of the Eighth International Joint Conference on Natural Language Processing (Volume 1: Long Papers)","0"
"P16-1094","A Persona-Based Neural Conversation Model","2016","32","194","2","0","6713","jiwei li","Proceedings of the 54th Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers)","1"
"N16-1014","A Diversity-Promoting Objective Function for Neural Conversation Models","2016","36","365","2","0","6713","jiwei li","Proceedings of the 2016 Conference of the North {A}merican Chapter of the Association for Computational Linguistics: Human Language Technologies","0"
"N16-1147","Visual Storytelling","2016","-1","-1","14","0.638948","720","tinghao huang","Proceedings of the 2016 Conference of the North {A}merican Chapter of the Association for Computational Linguistics: Human Language Technologies","0"
"D16-1127","Deep Reinforcement Learning for Dialogue Generation","2016","45","378","5","0","6713","jiwei li","Proceedings of the 2016 Conference on Empirical Methods in Natural Language Processing","0"
"W15-3504","A Discriminative Model for Semantics-to-String Translation","2015","19","3","3","0","4973","alevs tamchyna","Proceedings of the 1st Workshop on Semantics-Driven Statistical Machine Translation ({S}2{MT} 2015)","0"
"P15-2073","delta{BLEU}: A Discriminative Metric for Generation Tasks with Intrinsically Diverse Targets","2015","19","35","1","1","4268","michel galley","Proceedings of the 53rd Annual Meeting of the Association for Computational Linguistics and the 7th International Joint Conference on Natural Language Processing (Volume 2: Short Papers)","0"
"P15-1085","Language to Code: Learning Semantic Parsers for If-This-Then-That Recipes","2015","24","80","3","0","4460","chris quirk","Proceedings of the 53rd Annual Meeting of the Association for Computational Linguistics and the 7th International Joint Conference on Natural Language Processing (Volume 1: Long Papers)","1"
"N15-1020","A Neural Network Approach to Context-Sensitive Generation of Conversational Responses","2015","30","161","2","0","3552","alessandro sordoni","Proceedings of the 2015 Conference of the North {A}merican Chapter of the Association for Computational Linguistics: Human Language Technologies","0"
"D15-1021","A Survey of Current Datasets for Vision and Language Research","2015","32","26","6","0.789474","4358","francis ferraro","Proceedings of the 2015 Conference on Empirical Methods in Natural Language Processing","0"
"S14-1015","See No Evil, Say No Evil: Description Generation from Densely Labeled Images","2014","38","41","2","0","8625","mark yatskar","Proceedings of the Third Joint Conference on Lexical and Computational Semantics (*{SEM} 2014)","0"
"D14-1132","Large-scale Expected {BLEU} Training of Phrase-based Reordering Models","2014","29","11","2","0.952381","4501","michael auli","Proceedings of the 2014 Conference on Empirical Methods in Natural Language Processing ({EMNLP})","0"
"D13-1106","Joint Language and Translation Modeling with Recurrent Neural Networks","2013","27","190","2","0.952381","4501","michael auli","Proceedings of the 2013 Conference on Empirical Methods in Natural Language Processing","0"
"D13-1201","Regularized Minimum Error Rate Training","2013","34","9","1","1","4268","michel galley","Proceedings of the 2013 Conference on Empirical Methods in Natural Language Processing","0"
"W12-3159","Direct Error Rate Minimization for Statistical Machine Translation","2012","28","6","2","0","2983","tagyoung chung","Proceedings of the Seventh Workshop on Statistical Machine Translation","0"
"P11-2081","Why Initialization Matters for {IBM} Model 1: Multiple Optima and Non-Strict Convexity","2011","11","13","2","0","9781","kristina toutanova","Proceedings of the 49th Annual Meeting of the Association for Computational Linguistics: Human Language Technologies","0"
