W19-0803,Detecting Paraphrases of Standard Clause Titles in Insurance Contracts,2019,-1,-1,3,0,24865,frieda josi,{RELATIONS} - Workshop on meaning relations between phrases and sentences,0,"For the analysis of contract texts, validated model texts, such as model clauses, can be used to identify reused contract clauses. This paper investigates how to calculate the similarity between titles of model clauses and headings extracted from contracts, and which similarity measure is most suitable for this. For the calculation of the similarities between title pairs we tested various variants of string similarity and token based similarity. We also compare two more semantic similarity measures based on word embeddings using pretrained embeddings and word embeddings trained on contract texts. The identification of the model clause title can be used as a starting point for the mapping of clauses found in contracts to verified clauses."
W17-7002,Creating a gold standard corpus for terminological annotation from online forum data,2017,0,1,3,0,1000,anna hatty,"Proceedings of Language, Ontology, Terminology and Knowledge Structures Workshop ({LOTKS} 2017)",0,None
W16-4706,Acquisition of semantic relations between terms: how far can we get with standard {NLP} tools?,2016,-1,-1,5,0,28149,ina roesiger,Proceedings of the 5th International Workshop on Computational Terminology (Computerm2016),0,"The extraction of data exemplifying relations between terms can make use, at least to a large extent, of techniques that are similar to those used in standard hybrid term candidate extraction, namely basic corpus analysis tools (e.g. tagging, lemmatization, parsing), as well as morphological analysis of complex words (compounds and derived items). In this article, we discuss the use of such techniques for the extraction of raw material for a description of relations between terms, and we provide internal evaluation data for the devices developed. We claim that user-generated content is a rich source of term variation through paraphrasing and reformulation, and that these provide relational data at the same time as term variants. Germanic languages with their rich word formation morphology may be particularly good candidates for the approach advocated here."
L16-1454,A Lexical Resource for the Identification of {``}Weak Words{''} in {G}erman Specification Documents,2016,0,0,4,0,35186,jennifer krisch,Proceedings of the Tenth International Conference on Language Resources and Evaluation ({LREC}'16),0,"We report on the creation of a lexical resource for the identification of potentially unspecific or imprecise constructions in German requirements documentation from the car manufacturing industry. In requirements engineering, such expressions are called {``}weak words{''}: they are not sufficiently precise to ensure an unambiguous interpretation by the contractual partners, who for the definition of their cooperation, typically rely on specification documents (Melchisedech, 2000); an example are dimension adjectives, such as kurz or lang ({`}short{'}, {`}long{'}) which need to be modified by adverbials indicating the exact duration, size etc. Contrary to standard practice in requirements engineering, where the identification of such weak words is merely based on stopword lists, we identify weak uses in context, by querying annotated text. The queries are part of the resource, as they define the conditions when a word use is weak. We evaluate the recognition of weak uses on our development corpus and on an unseen evaluation corpus, reaching stable F1-scores above 0.95."
kliche-etal-2014-eidentity,The e{I}dentity Text Exploration Workbench,2014,10,2,3,0.952381,5261,fritz kliche,Proceedings of the Ninth International Conference on Language Resources and Evaluation ({LREC}'14),0,"We work on tools to explore text contents and metadata of newspaper articles as provided by news archives. Our tool components are being integrated into an {``}Exploration Workbench{''} for Digital Humanities researchers. Next to the conversion of different data formats and character encodings, a prominent feature of our design is its {``}Wizard{''} function for corpus building: Researchers import raw data and define patterns to extract text contents and metadata. The Workbench also comprises different tools for data cleaning. These include filtering of off-topic articles, duplicates and near-duplicates, corrupted and empty articles. We currently work on ca. 860.000 newspaper articles from different media archives, provided in different data formats. We index the data with state-of-the-art systems to allow for large scale information retrieval. We extract metadata on publishing dates, author names, newspaper sections, etc., and split articles into segments such as headlines, subtitles, paragraphs, etc. After cleaning the data and compiling a thematically homogeneous corpus, the sample can be used for quantitative analyses which are not affected by noise. Users can retrieve sets of articles on different topics, issues or otherwise defined research questions ({``}subcorpora{''}) and investigate quantitatively their media attention on the timeline ({``}Issue Cycles{''})."
zinsmeister-etal-2014-adapting,Adapting a part-of-speech tagset to non-standard text: The case of {STTS},2014,21,4,2,0,5537,heike zinsmeister,Proceedings of the Ninth International Conference on Language Resources and Evaluation ({LREC}'14),0,"The Stuttgart-T{\""u}bingen TagSet (STTS) is a de-facto standard for the part-of-speech tagging of German texts. Since its first publication in 1995, STTS has been used in a variety of annotation projects, some of which have adapted the tagset slightly for their specific needs. Recently, the focus of many projects has shifted from the analysis of newspaper text to that of non-standard varieties such as user-generated content, historical texts, and learner language. These text types contain linguistic phenomena that are missing from or are only suboptimally covered by STTS; in a community effort, German NLP researchers have therefore proposed additions to and modifications of the tagset that will handle these phenomena more appropriately. In addition, they have discussed alternative ways of tag assignment in terms of bipartite tags (stem, token) for historical texts and tripartite tags (lexicon, morphology, distribution) for learner texts. In this article, we report on this ongoing activity, addressing methodological issues and discussing selected phenomena and their treatment in the tagset adaptation process."
2014.eamt-1.3,Combining bilingual terminology mining and morphological modeling for domain adaptation in {SMT},2014,-1,-1,3,0.655738,36553,marion weller,Proceedings of the 17th Annual conference of the European Association for Machine Translation,0,None
W13-2708,Towards a Tool for Interactive Concept Building for Large Scale Analysis in the Humanities,2013,22,7,4,1,1033,andre blessing,"Proceedings of the 7th Workshop on Language Technology for Cultural Heritage, Social Sciences, and Humanities",0,"We develop a pipeline consisting of various text processing tools which is designed to assist political scientists in finding specific, complex concepts within large amounts of text. Our main focus is the interaction between the political scientists and the natural language processing groups to ensure a beneficial assistance for the political scientists and new application challenges for NLP. It is of particular importance to find a xe2x80x9ccommon languagexe2x80x9d between the different disciplines. Therefore, we use an interactive web-interface which is easily usable by non-experts. It interfaces an active learning algorithm which is complemented by the NLP pipeline to provide a rich feature selection. Political scientists are thus enabled to use their own intuitions to find custom concepts."
2013.mtsummit-wmwumttt.6,Using a rich feature set for the identification of {G}erman {MWE}s,2013,-1,-1,3,0,30805,fabienne cap,Proceedings of the Workshop on Multi-word Units in Machine Translation and Translation Technologies,0,None
todirascu-etal-2012-french,{F}rench and {G}erman Corpora for Audience-based Text Type Classification,2012,12,1,5,0,15684,amalia todirascu,Proceedings of the Eighth International Conference on Language Resources and Evaluation ({LREC}'12),0,This paper presents some of the results of the CLASSYN project which investigated the classification of text according to audience-related text types. We describe the design principles and the properties of the French and German linguistically annotated corpora that we have created. We report on tools used to collect the data and on the quality of the syntactic annotation. The CLASSYN corpora comprise two text collections to investigate general text types difference between scientific and popular science text on the two domains of medical and computer science.
gojun-etal-2012-adapting,Adapting and evaluating a generic term extraction tool,2012,15,7,2,0,43176,anita gojun,Proceedings of the Eighth International Conference on Language Resources and Evaluation ({LREC}'12),0,"We present techniques for monolingual term candidate extraction which are being developed in the EU project TTC. We designed an application for German and English data that serves as a first evaluation of the methods for terminology extraction used in the project. The application situation highlighted the need for tools to handle lemmatization errors and to remove incomplete word sequences from multi-word term candidate lists, as well as the fact that the provision of German citation forms requires more morphological knowledge than TTC's slim approach can provide. We show a detailed evaluation of our extraction results and discuss the method for the evaluation of terminology extraction systems."
weller-heid-2012-analyzing,Analyzing and Aligning {G}erman compound nouns,2012,6,12,2,1,36553,marion weller,Proceedings of the Eighth International Conference on Language Resources and Evaluation ({LREC}'12),0,"In this paper, we present and evaluate an approach for the compositional alignment of compound nouns using comparable corpora from technical domains. The task of term alignment consists in relating a source language term to its translation in a list of target language terms with the help of a bilingual dictionary. Compound splitting allows to transform a compound into a sequence of components which can be translated separately and then related to multi-word target language terms. We present and evaluate a method for compound splitting, and compare two strategies for term alignment (bag-of-word vs. pattern-based). The simple word-based approach leads to a considerable amount of erroneous alignments, whereas the pattern-based approach reaches a decent precision. We also assess the reasons for alignment failures: in the comparable corpora used for our experiments, a substantial number of terms has no translation in the target language data; furthermore, the non-isomorphic structures of source and target language terms cause alignment failures in many cases."
eberle-etal-2012-tool,A Tool/Database Interface for Multi-Level Analyses,2012,6,3,3,0,36726,kurt eberle,Proceedings of the Eighth International Conference on Language Resources and Evaluation ({LREC}'12),0,"Depending on the nature of a linguistic theory, empirical investigations of its soundness may focus on corpus studies related to lexical, syntactic, semantic or other phenomena. Especially work in research networks usually comprises analyses of different levels of description, where each one must be as reliable as possible when the same sentences and texts are investigated under very different perspectives. This paper describes an infrastructure that interfaces an analysis tool for multi-level annotation with a generic relational database. It supports three dimensions of analysis-handling and thereby builds an integrated environment for quality assurance in corpus based linguistic analysis: a vertical dimension relating analysis components in a pipeline, a horizontal dimension taking alternative results of the same analysis level into account and a temporal dimension to follow up cases where analyses for the same input have been produced with different versions of a tool. As an example we give a detailed description of a typical workflow for the vertical dimension."
