2021.sigdial-1.42,Blending Task Success and User Satisfaction: Analysis of Learned Dialogue Behaviour with Multiple Rewards,2021,-1,-1,2,0.640607,1558,stefan ultes,Proceedings of the 22nd Annual Meeting of the Special Interest Group on Discourse and Dialogue,0,"Recently, principal reward components for dialogue policy reinforcement learning use task success and user satisfaction independently and neither the resulting learned behaviour has been analysed nor a suitable proper analysis method even existed. In this work, we employ both principal reward components jointly and propose a method to analyse the resulting behaviour through a structured way of probing the learned policy. We show that blending both reward components increases user satisfaction without sacrificing task success in more hostile environments and provide insight about actions chosen by the learned policies."
2020.sigdial-1.38,Similarity Scoring for Dialogue Behaviour Comparison,2020,-1,-1,2,0.640607,1558,stefan ultes,Proceedings of the 21th Annual Meeting of the Special Interest Group on Discourse and Dialogue,0,"The differences in decision making between behavioural models of voice interfaces are hard to capture using existing measures for the absolute performance of such models. For instance, two models may have a similar task success rate, but very different ways of getting there. In this paper, we propose a general methodology to compute the similarity of two dialogue behaviour models and investigate different ways of computing scores on both the semantic and the textual level. Complementing absolute measures of performance, we test our scores on three different tasks and show the practical usability of the measures."
W18-3212,{GHHT} at {CALCS} 2018: Named Entity Recognition for Dialectal {A}rabic Using Neural Networks,2018,0,4,3,0,24071,mohammed attia,Proceedings of the Third Workshop on Computational Approaches to Linguistic Code-Switching,0,"This paper describes our system submission to the CALCS 2018 shared task on named entity recognition on code-switched data for the language variant pair of Modern Standard Arabic and Egyptian dialectal Arabic. We build a a Deep Neural Network that combines word and character-based representations in convolutional and recurrent networks with a CRF layer. The model is augmented with stacked layers of enriched information such pre-trained embeddings, Brown clusters and named entity gazetteers. Our system is ranked second among those participating in the shared task achieving an FB1 average of 70.09{\%}."
S18-1155,{GHH} at {S}em{E}val-2018 Task 10: Discovering Discriminative Attributes in Distributional Semantics,2018,0,2,4,0,24071,mohammed attia,Proceedings of The 12th International Workshop on Semantic Evaluation,0,"This paper describes our system submission to the SemEval 2018 Task 10 on Capturing Discriminative Attributes. Given two concepts and an attribute, the task is to determine whether the attribute is semantically related to one concept and not the other. In this work we assume that discriminative attributes can be detected by discovering the association (or lack of association) between a pair of words. The hypothesis we test in this contribution is whether the semantic difference between two pairs of concepts can be treated in terms of measuring the distance between words in a vector space, or can simply be obtained as a by-product of word co-occurrence counts."
L18-1315,Towards an Automatic Assessment of Crowdsourced Data for {NLU},2018,0,0,2,1,29858,patricia braunger,Proceedings of the Eleventh International Conference on Language Resources and Evaluation ({LREC} 2018),0,None
W17-5517,Natural Language Input for In-Car Spoken Dialog Systems: How Natural is Natural?,2017,19,0,2,1,29858,patricia braunger,Proceedings of the 18th Annual {SIG}dial Meeting on Discourse and Dialogue,0,"Recent spoken dialog systems are moving away from command and control towards a more intuitive and natural style of interaction. In order to choose an appropriate system design which allows the system to deal with naturally spoken user input, a definition of what exactly constitutes naturalness in user input is important. In this paper, we examine how different user groups naturally speak to an automotive spoken dialog system (SDS). We conduct a user study in which we collect freely spoken user utterances for a wide range of use cases in German. By means of a comparative study of the utterances from the study with interpersonal utterances, we provide criteria what constitutes naturalness in the user input of an state-of-the-art automotive SDS."
W16-5808,{SAWT}: Sequence Annotation Web Tool,2016,6,2,2,0.620822,484,younes samih,Proceedings of the Second Workshop on Computational Approaches to Code Switching,0,None
W16-0906,Discontinuous parsing with continuous trees,2016,15,8,1,1,1564,wolfgang maier,Proceedings of the Workshop on Discontinuous Structures in Natural Language Processing,0,None
L16-1658,An {A}rabic-{M}oroccan {D}arija Code-Switched Corpus,2016,19,5,2,0.620822,484,younes samih,Proceedings of the Tenth International Conference on Language Resources and Evaluation ({LREC}'16),0,"In this paper, we describe our effort in the development and annotation of a large scale corpus containing code-switched data. Until recently, very limited effort has been devoted to develop computational approaches or even basic linguistic resources to support research into the processing of Moroccan Darija."
P15-1116,Discontinuous Incremental Shift-reduce Parsing,2015,36,10,1,1,1564,wolfgang maier,Proceedings of the 53rd Annual Meeting of the Association for Computational Linguistics and the 7th International Joint Conference on Natural Language Processing (Volume 1: Long Papers),1,"We present an extension to incremental shift-reduce parsing that handles discontinuous constituents, using a linear classifier and beam search. We achieve very high parsing speeds (up to 640 sent./sec.) and accurate results (up to 79.52 F1 on TiGer)."
