2021.jeptalnrecital-deft.3,Classification multilabel de concepts m{\\'e}dicaux pour l{'}identification du profil clinique du patient (Multilabel classification of medical concepts for patient{'}s clinical profile identification ),2021,-1,-1,7,0,5680,christel gerardin,Actes de la 28e Conf{\\'e}rence sur le Traitement Automatique des Langues Naturelles. Atelier D{\\'E}fi Fouille de Textes (DEFT),0,"La premi{\`e}re t{\^a}che du D{\'e}fi fouille de textes 2021 a consist{\'e} {\`a} extraire automatiquement, {\`a} partir de cas cliniques, les ph{\'e}notypes pathologiques des patients regroup{\'e}s par t{\^e}te de chapitre du MeSH-maladie. La solution pr{\'e}sent{\'e}e est celle d{'}un classifieur multilabel bas{\'e} sur un transformer. Deux transformers ont {\'e}t{\'e} utilis{\'e}s : le camembert-large classique (run 1) et le camembert-large fine-tun{\'e} (run 2) sur des articles biom{\'e}dicaux fran{\c{c}}ais en acc{\`e}s libre. Nous avons {\'e}galement propos{\'e} un mod{\`e}le Â« bout-enbout Â», avec une premi{\`e}re phase d{'}extraction d{'}entit{\'e}s nomm{\'e}es {\'e}galement bas{\'e}e sur un transformer de type camembert-large et un classifieur de genre sur un mod{\`e}le Adaboost. Nous obtenons un tr{\`e}s bon rappel et une pr{\'e}cision correcte, pour une F1-mesure autour de 0,77 pour les trois runs. La performance du mod{\`e}le Â« bout-en-bout Â» est similaire aux autres m{\'e}thodes."
2020.jeptalnrecital-taln.35,Mod{\\`e}le neuronal pour la r{\\'e}solution de la cor{\\'e}f{\\'e}rence dans les dossiers m{\\'e}dicaux {\\'e}lectroniques (Neural approach for coreference resolution in electronic health records ),2020,-1,-1,4,1,18601,julien tourille,"Actes de la 6e conf{\\'e}rence conjointe Journ{\\'e}es d'{\\'E}tudes sur la Parole (JEP, 33e {\\'e}dition), Traitement Automatique des Langues Naturelles (TALN, 27e {\\'e}dition), Rencontre des {\\'E}tudiants Chercheurs en Informatique pour le Traitement Automatique des Langues (R{\\'E}CITAL, 22e {\\'e}dition). Volume 2 : Traitement Automatique des Langues Naturelles",0,"La r{\'e}solution de la cor{\'e}f{\'e}rence est un {\'e}l{\'e}ment essentiel pour la constitution automatique de chronologies m{\'e}dicales {\`a} partir des dossiers m{\'e}dicaux {\'e}lectroniques. Dans ce travail, nous pr{\'e}sentons une approche neuronale pour la r{\'e}solution de la cor{\'e}f{\'e}rence dans des textes m{\'e}dicaux {\'e}crits en anglais pour les entit{\'e}s g{\'e}n{\'e}rales et cliniques en nous {\'e}valuant dans le cadre de r{\'e}f{\'e}rence pour cette t{\^a}che que constitue la t{\^a}che 1C de la campagne i2b2 2011."
2020.jeptalnrecital-deft.11,Participation de l{'}{\\'e}quipe du {LIMICS} {\\`a} {DEFT} 2020 (Participation of team {LIMICS} in the {DEFT} 2020 challenge ),2020,-1,-1,4,0,5682,perceval wajsburt,"Actes de la 6e conf{\\'e}rence conjointe Journ{\\'e}es d'{\\'E}tudes sur la Parole (JEP, 33e {\\'e}dition), Traitement Automatique des Langues Naturelles (TALN, 27e {\\'e}dition), Rencontre des {\\'E}tudiants Chercheurs en Informatique pour le Traitement Automatique des Langues (R{\\'E}CITAL, 22e {\\'e}dition). Atelier D{\\'E}fi Fouille de Textes",0,"Nous pr{\'e}sentons dans cet article les m{\'e}thodes con{\c{c}}ues et les r{\'e}sultats obtenus lors de notre participation {\`a} la t{\^a}che 3 de la campagne d{'}{\'e}valuation DEFT 2020, consistant en la reconnaissance d{'}entit{\'e}s nomm{\'e}es du domaine m{\'e}dical. Nous proposons deux mod{\`e}les diff{\'e}rents permettant de prendre en compte les entit{\'e}s imbriqu{\'e}es, qui repr{\'e}sentent une des difficult{\'e}s du jeu de donn{\'e}es propos{\'e}es, et pr{\'e}sentons les r{\'e}sultats obtenus. Notre meilleur run obtient la meilleure performance parmi les participants, sur l{'}une des deux sous-t{\^a}ches du d{\'e}fi."
2019.jeptalnrecital-deft.3,Participation de l{'}{\\'e}quipe {LAI} {\\`a} {DEFT} 2019 (Participation of team {LAI} in the {DEFT} 2019 challenge ),2019,-1,-1,3,0,27336,jacques hilbey,Actes de la Conf{\\'e}rence sur le Traitement Automatique des Langues Naturelles (TALN) PFIA 2019. D{\\'e}fi Fouille de Textes (atelier TALN-RECITAL),0,"Nous pr{\'e}sentons dans cet article les m{\'e}thodes con{\c{c}}ues et les r{\'e}sultats obtenus lors de notre participation {\`a} la t{\^a}che 3 de la campagne d{'}{\'e}valuation DEFT 2019. Nous avons utilis{\'e} des approches simples {\`a} base de r{\`e}gles ou d{'}apprentissage automatique, et si nos r{\'e}sultats sont tr{\`e}s bons sur les informations simples {\`a} extraire comme l{'}{\^a}ge et le sexe du patient, ils restent mitig{\'e}s sur les t{\^a}ches plus difficiles."
W18-5622,Evaluation of a Sequence Tagging Tool for Biomedical Texts,2018,0,2,6,1,18601,julien tourille,Proceedings of the Ninth International Workshop on Health Text Mining and Information Analysis,0,"Many applications in biomedical natural language processing rely on sequence tagging as an initial step to perform more complex analysis. To support text analysis in the biomedical domain, we introduce Yet Another SEquence Tagger (YASET), an open-source multi purpose sequence tagger that implements state-of-the-art deep learning algorithms for sequence tagging. Herein, we evaluate YASET on part-of-speech tagging and named entity recognition in a variety of text genres including articles from the biomedical literature in English and clinical narratives in French. To further characterize performance, we report distributions over 30 runs and different sizes of training datasets. YASET provides state-of-the-art performance on the CoNLL 2003 NER dataset (F1=0.87), MEDPOST corpus (F1=0.97), MERLoT corpus (F1=0.99) and NCBI disease corpus (F1=0.81). We believe that YASET is a versatile and efficient tool that can be used for sequence tagging in biomedical and clinical texts."
W17-4211,Unsupervised Event Clustering and Aggregation from Newswire and Web Articles,2017,11,1,3,0,31706,swen ribeiro,Proceedings of the 2017 {EMNLP} Workshop: Natural Language Processing meets Journalism,0,"In this paper, we present an unsupervised pipeline approach for clustering news articles based on identified event instances in their content. We leverage press agency newswire and monolingual word alignment techniques to build meaningful and linguistically varied clusters of articles from the web in the perspective of a broader event type detection task. We validate our approach on a manually annotated corpus of Web articles."
S17-2098,{LIMSI}-{COT} at {S}em{E}val-2017 Task 12: Neural Architecture for Temporal Information Extraction from Clinical Narratives,2017,0,5,3,1,18601,julien tourille,Proceedings of the 11th International Workshop on Semantic Evaluation ({S}em{E}val-2017),0,"In this paper we present our participation to SemEval 2017 Task 12. We used a neural network based approach for entity and temporal relation extraction, and experimented with two domain adaptation strategies. We achieved competitive performance for both tasks."
P17-2035,Neural Architecture for Temporal Relation Extraction: A {B}i-{LSTM} Approach for Detecting Narrative Containers,2017,20,23,4,1,18601,julien tourille,Proceedings of the 55th Annual Meeting of the Association for Computational Linguistics (Volume 2: Short Papers),0,"We present a neural architecture for containment relation identification between medical events and/or temporal expressions. We experiment on a corpus of de-identified clinical notes in English from the Mayo Clinic, namely the THYME corpus. Our model achieves an F-measure of 0.613 and outperforms the best result reported on this corpus to date."
E17-2117,Temporal information extraction from clinical text,2017,15,5,3,1,18601,julien tourille,"Proceedings of the 15th Conference of the {E}uropean Chapter of the Association for Computational Linguistics: Volume 2, Short Papers",0,"In this paper, we present a method for temporal relation extraction from clinical narratives in French and in English. We experiment on two comparable corpora, the MERLOT corpus and the THYME corpus, and show that a common approach can be used for both languages."
2017.jeptalnrecital-long.13,"Apprendre des repr{\\'e}sentations jointes de mots et d{'}entit{\\'e}s pour la d{\\'e}sambigu{\\\\\i}sation d{'}entit{\\'e}s (Combining Word and Entity Embeddings for Entity Linking)""",2017,-1,-1,7,0,2103,jose moreno,Actes des 24{\\`e}me Conf{\\'e}rence sur le Traitement Automatique des Langues Naturelles. Volume 1 - Articles longs,0,"La d{\'e}sambigu{\""\i}sation d{'}entit{\'e}s (ou liaison d{'}entit{\'e}s), qui consiste {\`a} relier des mentions d{'}entit{\'e}s d{'}un texte {\`a} des entit{\'e}s d{'}une base de connaissance, est un probl{\`e}me qui se pose, entre autre, pour le peuplement automatique de bases de connaissances {\`a} partir de textes. Une difficult{\'e} de cette t{\^a}che est la r{\'e}solution d{'}ambigu{\""\i}t{\'e}s car les syst{\`e}mes ont {\`a} choisir parmi un nombre important de candidats. Cet article propose une nouvelle approche fond{\'e}e sur l{'}apprentissage joint de repr{\'e}sentations distribu{\'e}es des mots et des entit{\'e}s dans le m{\^e}me espace, ce qui permet d{'}{\'e}tablir un mod{\`e}le robuste pour la comparaison entre le contexte local de la mention d{'}entit{\'e} et les entit{\'e}s candidates."
