2020.signlang-1.34,Video-to-{H}am{N}o{S}ys Automated Annotation System,2020,-1,-1,2,0,14866,victor skobov,"Proceedings of the LREC2020 9th Workshop on the Representation and Processing of Sign Languages: Sign Language Resources in the Service of the Language Community, Technological Challenges and Application Perspectives",0,"The Hamburg Notation System (HamNoSys) was developed for movement annotation of any sign language (SL) and can be used to produce signing animations for a virtual avatar with the JASigning platform. This provides the potential to use HamNoSys, i.e., strings of characters, as a representation of an SL corpus instead of video material. Processing strings of characters instead of images can significantly contribute to sign language research. However, the complexity of HamNoSys makes it difficult to annotate without a lot of time and effort. Therefore annotation has to be automatized. This work proposes a conceptually new approach to this problem. It includes a new tree representation of the HamNoSys grammar that serves as a basis for the generation of grammatical training data and classification of complex movements using machine learning. Our automatic annotation system relies on HamNoSys grammar structure and can potentially be used on already existing SL corpora. It is retrainable for specific settings such as camera angles, speed, and gestures. Our approach is conceptually different from other SL recognition solutions and offers a developed methodology for future research."
2020.loresmt-1.7,Zero-shot translation among {I}ndian languages,2020,-1,-1,2,0,18456,rudali huidrom,Proceedings of the 3rd Workshop on Technologies for MT of Low Resource Languages,0,"Standard neural machine translation (NMT) allows a model to perform translation between a pair of languages. Multilingual neural machine translation (NMT), on the other hand, allows a model to perform translation between several language pairs, even between language pairs for which no sentences pair has been seen during training (zero-shot translation). This paper presents experiments with zero-shot translation on low resource Indian languages with a very small amount of data for each language pair. We first report results on balanced data over all considered language pairs. We then expand our experiments for additional three rounds by increasing the training data with 2,000 sentence pairs in each round for some of the language pairs. We obtain an increase in translation accuracy with its balanced data settings score multiplied by 7 for Manipuri to Hindi during Round-III of zero-shot translation."
2020.jeptalnrecital-taln.9,R{\\'e}seaux de neurones pour la r{\\'e}solution d{'}analogies entre phrases en traduction automatique par l{'}exemple (Neural networks for the resolution of analogies between sentences in {EBMT} ),2020,-1,-1,3,0,18577,valentin taillandier,"Actes de la 6e conf{\\'e}rence conjointe Journ{\\'e}es d'{\\'E}tudes sur la Parole (JEP, 33e {\\'e}dition), Traitement Automatique des Langues Naturelles (TALN, 27e {\\'e}dition), Rencontre des {\\'E}tudiants Chercheurs en Informatique pour le Traitement Automatique des Langues (R{\\'E}CITAL, 22e {\\'e}dition). Volume 2 : Traitement Automatique des Langues Naturelles",0,"Cet article propose un mod{\`e}le de r{\'e}seau de neurones pour la r{\'e}solution d{'}{\'e}quations analogiques au niveau s{\'e}mantique et entre phrases dans le cadre de la traduction automatique par l{'}exemple. Son originalit{\'e} r{\'e}side dans le fait qu{'}il fusionne les deux approches, directe et indirecte, de la traduction par l{'}exemple."
Y18-1096,Context Encoder for Analogies on Strings,2018,0,1,2,0,27592,tianjing zhao,"Proceedings of the 32nd Pacific Asia Conference on Language, Information and Computation",0,None
L18-1068,{K}orean {L}2 Vocabulary Prediction: Can a Large Annotated Corpus be Used to Train Better Models for Predicting Unknown Words?,2018,-1,-1,2,0,8759,kevin yancey,Proceedings of the Eleventh International Conference on Language Resources and Evaluation ({LREC} 2018),0,None
L18-1171,Tools for The Production of Analogical Grids and a Resource of N-gram Analogical Grids in 11 Languages,2018,-1,-1,2,0,29683,rashel fam,Proceedings of the Eleventh International Conference on Language Resources and Evaluation ({LREC} 2018),0,None
K18-3003,{IPS}-{WASEDA} system at {C}o{NLL}{--}{SIGMORPHON} 2018 Shared Task on morphological inflection,2018,0,2,2,0,29683,rashel fam,Proceedings of the {C}o{NLL}{--}{SIGMORPHON} 2018 Shared Task: Universal Morphological Reinflection,0,None
Y17-1015,Unsupervised Bilingual Segmentation using {MDL} for Machine Translation,2017,0,0,3,0,31086,bin shan,"Proceedings of the 31st Pacific Asia Conference on Language, Information and Computation",0,None
Y17-1018,{BTG}-based Machine Translation with Simple Reordering Model using Structured Perceptron,2017,23,0,2,1,11674,hao wang,"Proceedings of the 31st Pacific Asia Conference on Language, Information and Computation",0,None
Y16-2010,{HSSA} tree structures for {BTG}-based preordering in machine translation,2016,29,0,3,0,2332,yujia zhang,"Proceedings of the 30th Pacific Asia Conference on Language, Information and Computation: Oral Papers",0,None
